id;date;value
Arthur Ashe;01-07-09;3
Arthur Ashe;01-09-09;3
Arthur Ashe;01-01-10;3
Arthur Ashe;01-06-10;3
Arthur Ashe;01-07-10;3
Arthur Ashe;01-09-10;3
Arthur Ashe;01-01-11;3
Arthur Ashe;01-06-11;3
Arthur Ashe;01-07-11;3
Arthur Ashe;01-09-11;3
Arthur Ashe;01-01-12;3
Arthur Ashe;01-06-12;3
Arthur Ashe;01-07-12;3
Arthur Ashe;01-09-12;3
Arthur Ashe;01-01-13;3
Arthur Ashe;01-06-13;3
Arthur Ashe;01-07-13;3
Arthur Ashe;01-09-13;3
Arthur Ashe;01-01-14;3
Arthur Ashe;01-06-14;3
Arthur Ashe;01-07-14;3
Arthur Ashe;01-09-14;3
Arthur Ashe;01-01-15;3
Arthur Ashe;01-06-15;3
Arthur Ashe;01-07-15;3
Arthur Ashe;01-09-15;3
Arthur Ashe;01-01-16;3
Arthur Ashe;01-06-16;3
Arthur Ashe;01-07-16;3
Arthur Ashe;01-09-16;3
Arthur Ashe;01-01-17;3
Arthur Ashe;01-06-17;3
Arthur Ashe;01-07-17;3
Arthur Ashe;01-09-17;3
Arthur Ashe;01-01-18;3
Arthur Ashe;01-06-18;3
Arthur Ashe;01-07-18;3
Arthur Ashe;01-09-18;3
Arthur Ashe;01-01-19;3
Arthur Ashe;01-06-19;3
Arthur Ashe;01-07-19;3
Arthur Ashe;01-09-19;3
Arthur Ashe;01-01-20;3
Arthur Ashe;01-06-20;3
Arthur Ashe;01-07-20;3
Arthur Ashe;01-09-20;3
Arthur Ashe;01-01-21;3
Arthur Ashe;01-06-21;3
Jan Kodes;01-06-68;0
Jan Kodes;01-07-68;0
Jan Kodes;01-09-68;0
Jan Kodes;01-01-69;0
Jan Kodes;01-06-69;0
Jan Kodes;01-07-69;0
Jan Kodes;01-09-69;0
Jan Kodes;01-01-70;0
Jan Kodes;01-06-70;1
Jan Kodes;01-07-70;1
Jan Kodes;01-09-70;1
Jan Kodes;01-01-71;1
Jan Kodes;01-06-71;2
Jan Kodes;01-07-71;1
Jan Kodes;01-09-71;2
Jan Kodes;01-01-72;2
Jan Kodes;01-06-72;2
Jan Kodes;01-07-72;2
Jan Kodes;01-09-72;2
Jan Kodes;01-01-73;2
Jan Kodes;01-06-73;2
Jan Kodes;01-07-73;3
Jan Kodes;01-09-73;3
Jan Kodes;01-01-74;3
Jan Kodes;01-06-74;3
Jan Kodes;01-07-74;3
Jan Kodes;01-09-74;3
Jan Kodes;01-01-75;3
Jan Kodes;01-06-75;3
Jan Kodes;01-07-75;3
Jan Kodes;01-09-75;3
Jan Kodes;01-01-76;3
Jan Kodes;01-06-76;3
Jan Kodes;01-07-76;3
Jan Kodes;01-09-76;3
Jan Kodes;01-01-77;3
Jan Kodes;01-06-77;3
Jan Kodes;01-07-77;3
Jan Kodes;01-09-77;3
Jan Kodes;01-12-77;3
Jan Kodes;01-06-78;3
Jan Kodes;01-07-78;3
Jan Kodes;01-09-78;3
Jan Kodes;01-12-78;3
Jan Kodes;01-06-79;3
Jan Kodes;01-07-79;3
Jan Kodes;01-09-79;3
Jan Kodes;01-12-79;3
Jan Kodes;01-06-80;3
Jan Kodes;01-07-80;3
Jan Kodes;01-09-80;3
Jan Kodes;01-12-80;3
Jan Kodes;01-06-81;3
Jan Kodes;01-07-81;3
Jan Kodes;01-09-81;3
Jan Kodes;01-12-81;3
Jan Kodes;01-06-82;3
Jan Kodes;01-07-82;3
Jan Kodes;01-09-82;3
Jan Kodes;01-12-82;3
Jan Kodes;01-06-83;3
Jan Kodes;01-07-83;3
Jan Kodes;01-09-83;3
Jan Kodes;01-12-83;3
Jan Kodes;01-06-84;3
Jan Kodes;01-07-84;3
Jan Kodes;01-09-84;3
Jan Kodes;01-12-84;3
Jan Kodes;01-06-85;3
Jan Kodes;01-07-85;3
Jan Kodes;01-09-85;3
Jan Kodes;01-12-85;3
Jan Kodes;01-06-86;3
Jan Kodes;01-07-86;3
Jan Kodes;01-09-86;3
Jan Kodes;01-01-87;3
Jan Kodes;01-06-87;3
Jan Kodes;01-07-87;3
Jan Kodes;01-09-87;3
Jan Kodes;01-01-88;3
Jan Kodes;01-06-88;3
Jan Kodes;01-07-88;3
Jan Kodes;01-09-88;3
Jan Kodes;01-01-89;3
Jan Kodes;01-06-89;3
Jan Kodes;01-07-89;3
Jan Kodes;01-09-89;3
Jan Kodes;01-01-90;3
Jan Kodes;01-06-90;3
Jan Kodes;01-07-90;3
Jan Kodes;01-09-90;3
Jan Kodes;01-01-91;3
Jan Kodes;01-06-91;3
Jan Kodes;01-07-91;3
Jan Kodes;01-09-91;3
Jan Kodes;01-01-92;3
Jan Kodes;01-06-92;3
Jan Kodes;01-07-92;3
Jan Kodes;01-09-92;3
Jan Kodes;01-01-93;3
Jan Kodes;01-06-93;3
Jan Kodes;01-07-93;3
Jan Kodes;01-09-93;3
Jan Kodes;01-01-94;3
Jan Kodes;01-06-94;3
Jan Kodes;01-07-94;3
Jan Kodes;01-09-94;3
Jan Kodes;01-01-95;3
Jan Kodes;01-06-95;3
Jan Kodes;01-07-95;3
Jan Kodes;01-09-95;3
Jan Kodes;01-01-96;3
Jan Kodes;01-06-96;3
Jan Kodes;01-07-96;3
Jan Kodes;01-09-96;3
Jan Kodes;01-01-97;3
Jan Kodes;01-06-97;3
Jan Kodes;01-07-97;3
Jan Kodes;01-09-97;3
Jan Kodes;01-01-98;3
Jan Kodes;01-06-98;3
Jan Kodes;01-07-98;3
Jan Kodes;01-09-98;3
Jan Kodes;01-01-99;3
Jan Kodes;01-06-99;3
Jan Kodes;01-07-99;3
Jan Kodes;01-09-99;3
Jan Kodes;01-01-00;3
Jan Kodes;01-06-00;3
Jan Kodes;01-07-00;3
Jan Kodes;01-09-00;3
Jan Kodes;01-01-01;3
Jan Kodes;01-06-01;3
Jan Kodes;01-07-01;3
Jan Kodes;01-09-01;3
Jan Kodes;01-01-02;3
Jan Kodes;01-06-02;3
Jan Kodes;01-07-02;3
Jan Kodes;01-09-02;3
Jan Kodes;01-01-03;3
Jan Kodes;01-06-03;3
Jan Kodes;01-07-03;3
Jan Kodes;01-09-03;3
Jan Kodes;01-01-04;3
Jan Kodes;01-06-04;3
Jan Kodes;01-07-04;3
Jan Kodes;01-09-04;3
Jan Kodes;01-01-05;3
Jan Kodes;01-06-05;3
Jan Kodes;01-07-05;3
Jan Kodes;01-09-05;3
Jan Kodes;01-01-06;3
Jan Kodes;01-06-06;3
Jan Kodes;01-07-06;3
Jan Kodes;01-09-06;3
Jan Kodes;01-01-07;3
Jan Kodes;01-06-07;3
Jan Kodes;01-07-07;3
Jan Kodes;01-09-07;3
Jan Kodes;01-01-08;3
Jan Kodes;01-06-08;3
Jan Kodes;01-07-08;3
Jan Kodes;01-09-08;3
Jan Kodes;01-01-09;3
Jan Kodes;01-06-09;3
Jan Kodes;01-07-09;3
Jan Kodes;01-09-09;3
Jan Kodes;01-01-10;3
Jan Kodes;01-06-10;3
Jan Kodes;01-07-10;3
Jan Kodes;01-09-10;3
Jan Kodes;01-01-11;3
Jan Kodes;01-06-11;3
Jan Kodes;01-07-11;3
Jan Kodes;01-09-11;3
Jan Kodes;01-01-12;3
Jan Kodes;01-06-12;3
Jan Kodes;01-07-12;3
Jan Kodes;01-09-12;3
Jan Kodes;01-01-13;3
Jan Kodes;01-06-13;3
Jan Kodes;01-07-13;3
Jan Kodes;01-09-13;3
Jan Kodes;01-01-14;3
Jan Kodes;01-06-14;3
Jan Kodes;01-07-14;3
Jan Kodes;01-09-14;3
Jan Kodes;01-01-15;3
Jan Kodes;01-06-15;3
Jan Kodes;01-07-15;3
Jan Kodes;01-09-15;3
Jan Kodes;01-01-16;3
Jan Kodes;01-06-16;3
Jan Kodes;01-07-16;3
Jan Kodes;01-09-16;3
Jan Kodes;01-01-17;3
Jan Kodes;01-06-17;3
Jan Kodes;01-07-17;3
Jan Kodes;01-09-17;3
Jan Kodes;01-01-18;3
Jan Kodes;01-06-18;3
Jan Kodes;01-07-18;3
Jan Kodes;01-09-18;3
Jan Kodes;01-01-19;3
Jan Kodes;01-06-19;3
Jan Kodes;01-07-19;3
Jan Kodes;01-09-19;3
Jan Kodes;01-01-20;3
Jan Kodes;01-06-20;3
Jan Kodes;01-07-20;3
Jan Kodes;01-09-20;3
Jan Kodes;01-01-21;3
Jan Kodes;01-06-21;3
John Newcombe;01-06-68;0
John Newcombe;01-07-68;0
John Newcombe;01-09-68;0
John Newcombe;01-01-69;0
John Newcombe;01-06-69;0
John Newcombe;01-07-69;0
John Newcombe;01-09-69;0
John Newcombe;01-01-70;0
